JeNumber,Header Journal Name,PostDate,Description,AcctNum,Amount,Category
4827447,4-2020Receiving ,2019-06-19,Journal Import 2820195:,66057,1171.2,Receiving
4827447,4-2020Receiving ,2019-06-04,Journal Import 2820195:,66057,30000.0,Receiving
4827447,4-2020Receiving ,2019-06-04,Journal Import 2820195:,66057,80080.0,Receiving
4827447,4-2020Receiving ,2019-06-19,Journal Import 2820195:,66057,429.44,Receiving
4827447,4-2020Receiving ,2019-06-20,Journal Import 2820195:,66057,104000.0,Receiving
4827447,4-2020Receiving ,2019-06-12,Journal Import 2820195:,66057,14880.0,Receiving
4757632,3-2020Payments ,2019-05-09,"Payment Created , Payment Document Sequence Name : TH dh AP PAY Gapless , Payment Document Sequence Number : 365100000434 , Payment Number : 28526 , Payment Date : 09-MAY-19 , Bank Account Name : dh Thailand - THB 001 , Payment Currency Code : THB , Payment Method : DH_MANUAL , Payee : Pichamon Jirabovornluk Payment Currency Code THB ",55060,-619.0,Payments
4757632,3-2020Payments ,2019-05-09,"Payment Created , Payment Document Sequence Name : TH dh AP PAY Gapless , Payment Document Sequence Number : 365100000428 , Payment Number : 28520 , Payment Date : 09-MAY-19 , Bank Account Name : dh Thailand - THB 001 , Payment Currency Code : THB , Payment Method : DH_MANUAL , Payee : Kueanket, Sarayut Payment Currency Code THB ",55060,-2045.0,Payments
4757632,3-2020Payments ,2019-05-09,"Payment Created , Payment Document Sequence Name : TH dh AP PAY Gapless , Payment Document Sequence Number : 365100000431 , Payment Number : 28523 , Payment Date : 09-MAY-19 , Bank Account Name : dh Thailand - THB 001 , Payment Currency Code : THB , Payment Method : DH_MANUAL , Payee : Boonnake, Pongsakon Payment Currency Code THB ",55060,-1832.55,Payments
4841386,4-2020Miscellaneous ,2019-06-01,"Origin : Manual , Transaction Type : Miscellaneous , Reference : Fee ",55060,-5.0,Miscellaneous
4738608,3-2020Purchase Invoices ,2019-05-01,"Invoice Voucher Number : 365100000911 , Invoice Description : Fuel , Supplier : Boonnake, Pongsakon , Supplier Site : OFFICE , Invoice Type : Standard ",20220,247.0,Purchase Invoices
5134827,7-2020Deliver ,2019-09-06,Journal Import 3089519:,66057,-28500.0,Deliver
5134827,7-2020Deliver ,2019-09-06,Journal Import 3089519:,66057,-15500.0,Deliver
5151112,7-2020Deliver ,2019-09-11,Journal Import 3105337:,11205,117650.0,Deliver
5200904,7-2020 Sales Invoices,2019-09-06,Customer Name: F&N Dairies (Thailand) Limited Customer Number: 214144 Bill-To Site: 295146 ,66070,-41875.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-17,Customer Name: S.C. Johnson & Son Ltd. Customer Number: 214127 Bill-To Site: 295129 ,66070,-54000.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-17,"Customer Name: PHD (Thailand) Co.,Ltd. Customer Number: 214208 Bill-To Site: 295210 ",66070,-1640000.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-16,Customer Name: Lion Corporation (Thailand) Ltd. Customer Number: 214160 Bill-To Site: 295162 ,66070,-1000000.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-02,"Customer Name: Optimum Media Direction (Thailand) Co., Ltd. Customer Number: 214189 Bill-To Site: 295191 ",66070,-518400.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-02,"Customer Name: Optimum Media Direction (Thailand) Co., Ltd. Customer Number: 214189 Bill-To Site: 295191 ",66070,-633040.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-09,"Customer Name: Dairy Plus Co., Ltd. Customer Number: 214145 Bill-To Site: 295147 ",66070,-584250.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-06,Customer Name: F&N Dairies (Thailand) Limited Customer Number: 214144 Bill-To Site: 295146 ,66070,-502500.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-06,Customer Name: IPG Mediabrands - A Branch of IPG Advertising (Thailand) Lim Customer Number: 214172 Bill-To Site: 295175 ,66070,-425000.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-05,"Customer Name: Uni-Charm (Thailand) Co., Ltd. Customer Number: 214153 Bill-To Site: 295155 ",66070,-1002240.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-12,Customer Name: DKSH (Thailand) Limited Customer Number: 240027 Bill-To Site: 324047 ,66070,-4500000.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-13,Customer Name: Mead Johnson Nutrition (Thailand) Ltd. Customer Number: 214122 Bill-To Site: 295124 ,66070,-1195889.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-12,Customer Name: Colgate-Palmolive (Thailand) Limited. Customer Number: 214110 Bill-To Site: 295111 ,66070,-52500.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-19,Customer Name: Unilever Thai Trading Limited Customer Number: 214115 Bill-To Site: 295117 ,66070,-1123032.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-12,"Customer Name: Demo Power (Thailand) Co.,Ltd. Customer Number: 214258 Bill-To Site: 295260 ",66070,-500000.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-13,Customer Name: IPG Mediabrands - A Branch of IPG Advertising (Thailand) Lim Customer Number: 214172 Bill-To Site: 295175 ,66070,-850000.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-13,Customer Name: Jacobs Douwe Egberts TH Ltd. Customer Number: 214141 Bill-To Site: 295143 ,66070,-804576.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-13,Customer Name: P&G Trading (Thailand) Pte Ltd Customer Number: 214121 Bill-To Site: 295123 ,66070,-300000.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-24,Customer Name: Nestle (Thai) Ltd. Customer Number: 214123 Bill-To Site: 295125 ,62125,19416.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-24,Customer Name: Nestle (Thai) Ltd. Customer Number: 214123 Bill-To Site: 295125 ,62125,34020.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-26,Customer Name: Unilever Thai Trading Limited Customer Number: 214115 Bill-To Site: 295117 ,62125,16845.48,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-06,Customer Name: IPG Mediabrands - A Branch of IPG Advertising (Thailand) Lim Customer Number: 214172 Bill-To Site: 295175 ,62125,12750.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-16,Customer Name: Unilever Thai Trading Limited Customer Number: 214115 Bill-To Site: 295117 ,62125,34031.25,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-10,Customer Name: Diageo Moet Hennessy (Thailand) Limited. Customer Number: 214147 Bill-To Site: 295148 ,62125,14298.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-16,Customer Name: Lion Corporation (Thailand) Ltd. Customer Number: 214160 Bill-To Site: 295162 ,62125,30000.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-16,Customer Name: Supalai Public Company Ltd Customer Number: 214202 Bill-To Site: 295204 ,62125,600.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-01,Customer Name: Kinetic Worldwide (Thailand) Ltd. Customer Number: 214176 Bill-To Site: 295178 ,62125,1440.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-02,"Customer Name: Optimum Media Direction (Thailand) Co., Ltd. Customer Number: 214189 Bill-To Site: 295191 ",62125,26256.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-13,Customer Name: IPG Mediabrands - A Branch of IPG Advertising (Thailand) Lim Customer Number: 214172 Bill-To Site: 295175 ,62125,25500.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-19,Customer Name: Unilever Thai Trading Limited Customer Number: 214115 Bill-To Site: 295117 ,62125,1980.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-13,Customer Name: P&G Trading (Thailand) Pte Ltd Customer Number: 214121 Bill-To Site: 295123 ,62125,150.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-04,"Customer Name: Siam Furukawa Trading Co.,Ltd. Customer Number: 214209 Bill-To Site: 295211 ",62125,20530.62,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-02,Customer Name: IPG Mediabrands - A Branch of IPG Advertising (Thailand) Lim Customer Number: 214172 Bill-To Site: 295175 ,62125,9562.5,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-12,"Customer Name: Demo Power (Thailand) Co.,Ltd. Customer Number: 214258 Bill-To Site: 295260 ",62125,15000.0,Sales Invoices
5200904,7-2020 Sales Invoices,2019-09-18,"Customer Name: Carat (Thailand) Co., Ltd. Customer Number: 238068 Bill-To Site: 439019 ",62125,12960.0,Sales Invoices
5200905,7-2020 Credit Memos,2019-09-19,Credit Reason: Incorrect dates entered Customer Name: Danone Dumex Customer Number: 214112 Bill-To Site: 295114 ,66070,2200000.0,Credit Memos
5200906,7-2020 Receipts,2019-09-19,Receipt Application Status: APP Customer Name: IPG Mediabrands - A Branch of IPG Advertising (Thailand) Lim Customer Number: 214172 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,842400.0,Receipts
5200906,7-2020 Receipts,2019-09-19,"Receipt Application Status: APP Customer Name: Optimum Media Direction (Thailand) Co., Ltd. Customer Number: 214189 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ",50005,555984.0,Receipts
5200906,7-2020 Receipts,2019-09-24,Receipt Application Status: APP Customer Name: Unilever Thai Trading Limited Customer Number: 214115 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-943800.0,Receipts
5200906,7-2020 Receipts,2019-09-24,Receipt Application Status: UNAPP Customer Name: Kinetic Worldwide (Thailand) Ltd. Customer Number: 214176 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-455520.0,Receipts
5200906,7-2020 Receipts,2019-09-24,Receipt Application Status: APP Customer Name: Unilever Thai Trading Limited Customer Number: 214115 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-309920.0,Receipts
5200906,7-2020 Receipts,2019-09-24,Receipt Application Status: APP Customer Name: Nestle (Thai) Ltd. Customer Number: 214123 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-204256.0,Receipts
5200906,7-2020 Receipts,2019-09-24,"Receipt Application Status: APP Customer Name: Pepsi-Cola (Thai) Trading Co., Ltd. Customer Number: 214138 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ",50005,-708879.6,Receipts
5200906,7-2020 Receipts,2019-09-24,"Receipt Application Status: APP Customer Name: Dairy Plus Co., Ltd. Customer Number: 214145 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ",50005,-301080.0,Receipts
5200906,7-2020 Receipts,2019-09-24,Receipt Application Status: UNAPP Customer Name: Kinetic Worldwide (Thailand) Ltd. Customer Number: 214176 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-561600.0,Receipts
5200906,7-2020 Receipts,2019-09-24,Receipt Application Status: UNAPP Customer Name: Kinetic Worldwide (Thailand) Ltd. Customer Number: 214176 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-457600.0,Receipts
5200906,7-2020 Receipts,2019-09-24,Receipt Application Status: APP Customer Name: P&G Trading (Thailand) Pte Ltd Customer Number: 214121 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-633921.6,Receipts
5200906,7-2020 Receipts,2019-09-24,Receipt Application Status: APP Customer Name: Berli Jucker Public Company Limited Customer Number: 214133 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-197600.0,Receipts
5325870,8-2020 Sales Invoices,2019-10-16,Customer Name: EK-Chai Distribution System Co. Ltd Customer Number: 1184 Bill-To Site: 298484 ,66070,650000.0,Sales Invoices
5325870,8-2020 Sales Invoices,2019-10-01,Customer Name: Mundipharma (Thailand) Ltd. Customer Number: 214293 Bill-To Site: 295296 ,66070,680000.0,Sales Invoices
5325870,8-2020 Sales Invoices,2019-10-10,Customer Name: Unilever Thai Trading Limited Customer Number: 214115 Bill-To Site: 295117 ,50005,1111352.32,Sales Invoices
5325870,8-2020 Sales Invoices,2019-10-02,"Customer Name: Carat (Thailand) Co., Ltd. Customer Number: 238068 Bill-To Site: 439019 ",50005,898560.0,Sales Invoices
5325870,8-2020 Sales Invoices,2019-10-02,"Customer Name: Carat (Thailand) Co., Ltd. Customer Number: 238068 Bill-To Site: 439019 ",50005,563550.0,Sales Invoices
5325870,8-2020 Sales Invoices,2019-10-01,Customer Name: Mundipharma (Thailand) Ltd. Customer Number: 214293 Bill-To Site: 295296 ,50005,707200.0,Sales Invoices
5325870,8-2020 Sales Invoices,2019-10-17,Customer Name: Unilever Thai Trading Limited Customer Number: 214115 Bill-To Site: 295117 ,50005,231504.0,Sales Invoices
5325870,8-2020 Sales Invoices,2019-10-10,Customer Name: Unilever Thai Trading Limited Customer Number: 214115 Bill-To Site: 295117 ,50005,114400.0,Sales Invoices
5325870,8-2020 Sales Invoices,2019-10-31,"Customer Name: Sino-Pacific Trading (Thailand) Co., Ltd. Customer Number: 214148 Bill-To Site: 295149 ",50005,36400.0,Sales Invoices
5325870,8-2020 Sales Invoices,2019-10-08,Customer Name: Nestle (Thai) Ltd. Customer Number: 214123 Bill-To Site: 295125 ,50005,3750002.88,Sales Invoices
5325870,8-2020 Sales Invoices,2019-10-28,"Customer Name: Siam Health Group Co.,Ltd. Customer Number: 214197 Bill-To Site: 295199 ",50005,41600.0,Sales Invoices
5325870,8-2020 Sales Invoices,2019-10-10,Customer Name: Unilever Thai Trading Limited Customer Number: 214115 Bill-To Site: 295117 ,50005,91748.8,Sales Invoices
5325870,8-2020 Sales Invoices,2019-10-07,"Customer Name: Optimum Media Direction (Thailand) Co., Ltd. Customer Number: 214189 Bill-To Site: 295191 ",50005,539136.0,Sales Invoices
5325870,8-2020 Sales Invoices,2019-10-07,"Customer Name: Optimum Media Direction (Thailand) Co., Ltd. Customer Number: 214189 Bill-To Site: 295191 ",50005,233126.4,Sales Invoices
